name,score,params,model,features,n_trials,metadata
Ridge_food_features_,7.030515970537978,"{'alpha': 214.99430142257896, 'tol': 1.227788621816689e-05}","Ridge(alpha=214.99430142257896, random_state=42, tol=1.227788621816689e-05)","['dairy_freq', 'processed_servings', 'fiber_grams', 'weekly_bms', 'fat_grams', 'fv_servings', 'hydration_level', 'spiciness', 'caffeinated_beverages_per_day', 'weekly_greasy_meals']",11,{'score': 7.030515970537978}
Ridge_toilet_features_food_features_,7.037564966678971,"{'alpha': 985.0874497610896, 'tol': 0.011526103164140608}","Ridge(alpha=985.0874497610896, random_state=42, tol=0.011526103164140608)","['dairy_freq', 'processed_servings', 'stool_consistency', 'toilet_method', 'stool_color', 'fiber_grams', 'weekly_bms', 'fat_grams', 'fv_servings', 'hydration_level', 'spiciness', 'caffeinated_beverages_per_day', 'smell_intensity', 'meds_affecting_gut', 'weekly_greasy_meals']",11,{'score': 7.037564966678971}
Ridge_toilet_features_personal_features_food_features_,7.043934970703674,"{'alpha': 760.9206672712543, 'tol': 0.08802569541865787}","Ridge(alpha=760.9206672712543, random_state=42, tol=0.08802569541865787)","['gender', 'stool_consistency', 'meds_affecting_gut', 'weekly_greasy_meals', 'age', 'activity_level', 'fat_grams', 'fv_servings', 'spiciness', 'caffeinated_beverages_per_day', 'weight', 'dairy_freq', 'toilet_method', 'weekly_bms', 'height', 'hydration_level', 'smell_intensity', 'sleep_hours', 'processed_servings', 'fiber_grams', 'stool_color']",11,{'score': 7.043934970703674}
Ridge_toilet_features_,7.046781807638896,"{'alpha': 827.7763034190199, 'tol': 0.05851696791318683}","Ridge(alpha=827.7763034190199, random_state=42, tol=0.05851696791318683)","['stool_consistency', 'toilet_method', 'stool_color', 'smell_intensity', 'meds_affecting_gut']",11,{'score': 7.046781807638896}
Ridge_personal_features_food_features_,7.047890603117246,"{'alpha': 242.7672889722616, 'tol': 0.0002293584842537169}","Ridge(alpha=242.7672889722616, random_state=42, tol=0.0002293584842537169)","['age', 'gender', 'weight', 'dairy_freq', 'activity_level', 'processed_servings', 'fiber_grams', 'weekly_bms', 'height', 'fat_grams', 'fv_servings', 'hydration_level', 'spiciness', 'caffeinated_beverages_per_day', 'sleep_hours', 'weekly_greasy_meals']",11,{'score': 7.047890603117246}
Ridge_personal_features_,7.055661165249381,"{'alpha': 722.3790302840015, 'tol': 0.010803009221848885}","Ridge(alpha=722.3790302840015, random_state=42, tol=0.010803009221848885)","['age', 'gender', 'weight', 'activity_level', 'height', 'sleep_hours']",11,{'score': 7.055661165249381}
Ridge_toilet_features_personal_features_,7.076498039599417,"{'alpha': 144.85328147479888, 'tol': 0.00020652301972019004}","Ridge(alpha=144.85328147479888, random_state=42, tol=0.00020652301972019004)","['age', 'gender', 'weight', 'activity_level', 'stool_consistency', 'toilet_method', 'stool_color', 'height', 'smell_intensity', 'sleep_hours', 'meds_affecting_gut']",11,{'score': 7.076498039599417}
