name,score,params,model,features,n_trials,metadata
Ridge_toilet_features_food_features_,7.030820255354058,"{'alpha': 293.52892712436545, 'tol': 0.00038330397479840545}","Ridge(alpha=293.52892712436545, random_state=42, tol=0.00038330397479840545)","['stool_consistency', 'fiber_grams', 'smell_intensity', 'fat_grams', 'fv_servings', 'caffeinated_beverages_per_day', 'dairy_freq', 'weekly_bms', 'spiciness', 'stool_color', 'meds_affecting_gut', 'hydration_level', 'toilet_method', 'weekly_greasy_meals', 'processed_servings']",11,{'score': 7.030820255354058}
Ridge_food_features_,7.0379944443687155,"{'alpha': 969.7568013235747, 'tol': 0.010377318315993207}","Ridge(alpha=969.7568013235747, random_state=42, tol=0.010377318315993207)","['fv_servings', 'fiber_grams', 'fat_grams', 'caffeinated_beverages_per_day', 'dairy_freq', 'weekly_bms', 'spiciness', 'weekly_greasy_meals', 'hydration_level', 'processed_servings']",11,{'score': 7.0379944443687155}
Ridge_personal_features_food_features_,7.044357037144567,"{'alpha': 766.1712545495169, 'tol': 1.3000234089817508e-05}","Ridge(alpha=766.1712545495169, random_state=42, tol=1.3000234089817508e-05)","['fv_servings', 'fiber_grams', 'fat_grams', 'caffeinated_beverages_per_day', 'age', 'dairy_freq', 'weekly_bms', 'weekly_greasy_meals', 'spiciness', 'sleep_hours', 'weight', 'hydration_level', 'height', 'activity_level', 'gender', 'processed_servings']",11,{'score': 7.044357037144567}
Ridge_toilet_features_personal_features_food_features_,7.044655374126433,"{'alpha': 413.4161206008474, 'tol': 0.00025542167225927796}","Ridge(alpha=413.4161206008474, random_state=42, tol=0.00025542167225927796)","['stool_consistency', 'fiber_grams', 'dairy_freq', 'weekly_greasy_meals', 'height', 'toilet_method', 'meds_affecting_gut', 'processed_servings', 'fat_grams', 'weekly_bms', 'spiciness', 'weight', 'sleep_hours', 'hydration_level', 'activity_level', 'gender', 'fv_servings', 'smell_intensity', 'caffeinated_beverages_per_day', 'age', 'stool_color']",11,{'score': 7.044655374126433}
Ridge_toilet_features_personal_features_,7.054779816487967,"{'alpha': 790.756490526677, 'tol': 0.004049595615599731}","Ridge(alpha=790.756490526677, random_state=42, tol=0.004049595615599731)","['stool_consistency', 'smell_intensity', 'age', 'stool_color', 'weight', 'meds_affecting_gut', 'sleep_hours', 'height', 'toilet_method', 'activity_level', 'gender']",11,{'score': 7.054779816487967}
Ridge_personal_features_,7.057044507829064,"{'alpha': 591.7415182489196, 'tol': 1.7846572401360087e-05}","Ridge(alpha=591.7415182489196, random_state=42, tol=1.7846572401360087e-05)","['age', 'sleep_hours', 'weight', 'height', 'activity_level', 'gender']",11,{'score': 7.057044507829064}
Ridge_toilet_features_,7.068116980919943,"{'alpha': 37.2768986755198, 'tol': 0.0001490458728075193}","Ridge(alpha=37.2768986755198, random_state=42, tol=0.0001490458728075193)","['stool_consistency', 'smell_intensity', 'stool_color', 'meds_affecting_gut', 'toilet_method']",11,{'score': 7.068116980919943}
